timestamp,original,optimized,saved,percentage
2025-02-21 08:56:17,1.7390691156679436e-05,1.737448338335545e-05,1.6207773323985105e-08,0.0931979826331399
2025-02-22 10:54:40,6.865321131787572e-06,6.825439131335946e-06,3.988200045162628e-08,0.5809196640047327
2025-02-22 11:24:16,3.5364264725278323e-08,8.77908298869067e-06,0.0,0.0
2025-02-22 11:56:50,9.3493658716116e-06,4.7094503852581334e-08,9.302271367759018e-06,99.4962813040018
2025-02-22 12:02:38,4.1203551814528656e-08,6.967404013070115e-06,0.0,0.0
2025-02-22 13:05:43,5.9003370635147643e-08,3.056518019484074e-08,2.8438190440306897e-08,48.19756928151931
2025-02-22 13:19:51,1.4985728727927056e-05,1.0781224787672812e-05,4.204503940254244e-06,28.05671994061142
2025-02-22 17:35:04,1.3797829559684568e-05,6.986532025472053e-06,6.811297534212514e-06,49.36499255009081
2025-02-22 17:44:57,1.3804843656921342e-05,6.975531801629468e-06,6.8293118552918735e-06,49.470403468624994
2025-02-22 17:54:31,1.3738180835223978e-05,6.992148660050967e-06,6.746032175173011e-06,49.10426100868127
2025-02-22 17:58:20,1.384207323582104e-05,4.645581535769429e-06,9.19649170005161e-06,66.43868691759687
2025-02-22 18:03:52,1.3980892039327713e-05,7.129631925708052e-06,6.851260113619659e-06,49.00445618453621
2025-02-22 18:10:34,1.3770760180615608e-05,5.757450355995405e-06,8.013309824620203e-06,58.19075867648997
2025-02-22 18:14:53,1.3923436816277098e-05,5.773193264381898e-06,8.150243551895199e-06,58.53614778764402
2025-02-22 18:37:22,1.381912402839873e-05,5.846046711054944e-06,7.973077317343786e-06,57.69596756609799
2025-02-22 18:39:32,1.3856930442574632e-05,5.784559856549297e-06,8.072370586025334e-06,58.25511370991251
2025-02-22 18:41:05,1.3888737628277487e-05,6.986330605046383e-06,6.902407023231104e-06,49.69787181505823
2025-02-22 18:41:51,1.3925822732337153e-05,7.051433438278797e-06,6.874389294058356e-06,49.364331473898034
2025-02-22 18:49:02,1.3879148610672085e-05,7.006867624693689e-06,6.872280985978394e-06,49.51514807395388
2025-02-22 23:10:53,1.4897394664911308e-05,1.7724619353701807e-05,0.0,0.0
2025-02-22 23:30:18,1.645969324103773e-05,1.0714234266763683e-05,5.745458974274048e-06,34.90623361041336
2025-02-22 23:52:05,1.584945430052448e-05,1.4518424492841508e-05,1.3310298076829718e-06,8.397953534835116
2025-02-23 00:35:38,1.610968761647436e-05,1.1111642238002584e-05,4.9980453784717765e-06,31.025091842008106
2025-02-23 02:07:22,1.526106455126279e-05,1.6916328448080808e-05,0.0,0.0
2025-02-23 02:13:08,1.4980852578633083e-05,2.3601821003775224e-08,1.4957250757629307e-05,99.84245341925708
2025-02-23 04:11:48,5.04505254341636e-08,3.016482261597286e-08,2.0285702818190732e-08,40.20910118104312
2025-02-23 08:01:56,1.4727207422433192e-05,8.229679025299921e-06,6.497528397133271e-06,44.11921561745591
2025-02-23 08:20:57,2.4072180218424367e-05,6.326535075513693e-08,2.400891486766923e-05,99.7371847909866
2025-02-23 08:46:41,2.0206002721714248e-05,3.154799986276227e-08,2.0174454721851485e-05,99.84386817968276
2025-02-23 09:12:10,1.44980695823376e-05,1.623853185687047e-05,0.0,0.0
2025-02-23 09:13:00,1.4603656272001702e-05,7.91129247186094e-06,6.692363800140762e-06,45.82663187554913
2025-02-23 09:17:59,1.560747585812018e-05,1.0495394900550293e-05,5.112080957569886e-06,32.754053275758864
2025-02-23 09:21:14,1.5733579422422294e-05,8.400949569245221e-06,7.332629853177073e-06,46.60496925910686
2025-02-23 09:26:04,1.4527640737661143e-05,1.8774890906208768e-05,0.0,0.0
2025-02-23 09:26:42,1.4680329487291947e-05,9.233789806018434e-06,5.446539681273513e-06,37.10093622890631
2025-02-23 10:34:59,1.443709874004886e-05,9.774323276598394e-06,4.662775463450466e-06,32.29717789846387
